Substation,P_gross,Q_net,storage,solar,wind,hydro,other
PEHE,132.0,42.800000000000004,10.0,65.0,143.0,0.0,16.0
STEW,1302.0,-32.7,111.0,458.0,438.0,0.0,132.0
HAWP,646.0,22.9,42.0,270.0,147.0,1.0,51.0
HARK,1316.0,92.2,94.0,930.0,558.0,30.0,200.0
BLHI,174.0,38.9,17.0,146.0,256.0,3.0,52.0
COCK,899.0,52.10000000000001,40.0,242.0,392.0,1.0,85.0
HUNE,444.0,21.0,42.0,95.0,321.0,31.0,68.0
LOAN,789.0,105.6,59.0,275.0,355.0,7.0,120.0
NORT,1001.0,-55.6,148.0,388.0,180.0,1.0,666.0
STHA,819.0,18.999999999999996,5.0,103.0,306.0,119.0,94.0
TEAL,472.44,29.799999999999997,19.0,329.0,86.0,10.0,50.0
TUMM,70.0,20.599999999999998,0.0,46.0,1.0,95.0,9.0
WYHI,913.0,29.0,82.0,167.0,174.0,79.0,37.0
BEAU,282.0,0.5000000000000011,4.0,114.0,112.0,102.0,12.0
KINT,392.0,15.200000000000003,15.0,162.0,168.0,6.0,25.0
NGET,53097.4,127.19999999999968,6036.0,32388.0,5007.0,113.0,9752.0
